"Date","MaxTemp","MinTemp","MeanTemp","Precip","MaxGust","HDD","CDD","Month","Year","DOW","HDD_1","HDD_2","CDD_1","CDD_2","IsBusinessDay","Holiday","MaxHDD","MaxCDD","wknd"
2011-01-01,-1.5,-19.8,-10.7,1,39,18.7,0,"January",2011,"Saturday",15,15,0,0,0,1,24.8,0,1
2011-01-02,-1.1,-7.2,-4.2,0.5,48,12.2,0,"January",2011,"Sunday",18.7,15,0,0,0,0,12.2,0,1
2011-01-03,-1.9,-7.4,-4.7,0,48,12.7,0,"January",2011,"Monday",12.2,18.7,0,0,1,0,12.4,0,0
2011-01-04,0.2,-6.5,-3.2,0,48,11.2,0,"January",2011,"Tuesday",12.7,12.2,0,0,1,0,11.5,0,0
2011-01-05,1.9,-6.3,-2.2,1,48,10.2,0,"January",2011,"Wednesday",11.2,12.7,0,0,1,0,11.3,0,0
2011-01-06,2.5,-4.8,-1.2,0.5,56,9.2,0,"January",2011,"Thursday",10.2,11.2,0,0,1,0,9.8,0,0
2011-01-07,-2.2,-12.4,-7.3,2.5,35,15.3,0,"January",2011,"Friday",9.2,10.2,0,0,1,0,17.4,0,0
2011-01-08,-6.1,-13.5,-9.8,1.5,41,17.8,0,"January",2011,"Saturday",15.3,9.2,0,0,0,0,18.5,0,1
2011-01-09,-13.5,-16.3,-14.9,0,44,22.9,0,"January",2011,"Sunday",17.8,15.3,0,0,0,0,21.3,0,1
2011-01-10,-16.2,-20.9,-18.6,0.5,32,26.6,0,"January",2011,"Monday",22.9,17.8,0,0,1,0,25.9,0,0
2011-01-11,-17.3,-24.8,-21.1,0,32,29.1,0,"January",2011,"Tuesday",26.6,22.9,0,0,1,0,29.8,0,0
2011-01-12,-22.8,-27.9,-25.4,0,32,33.4,0,"January",2011,"Wednesday",29.1,26.6,0,0,1,0,32.9,0,0
2011-01-13,-21.2,-24.3,-22.8,0.5,32,30.8,0,"January",2011,"Thursday",33.4,29.1,0,0,1,0,29.3,0,0
2011-01-14,-23.9,-26.9,-25.4,0.5,32,33.4,0,"January",2011,"Friday",30.8,33.4,0,0,1,0,31.9,0,0
2011-01-15,-22,-26.3,-24.2,4,32,32.2,0,"January",2011,"Saturday",33.4,30.8,0,0,0,0,31.3,0,1
2011-01-16,-20.9,-23.1,-22,4,32,30,0,"January",2011,"Sunday",32.2,33.4,0,0,0,0,28.1,0,1
2011-01-17,-19.4,-23.5,-21.5,3.5,32,29.5,0,"January",2011,"Monday",30,32.2,0,0,1,0,28.5,0,0
2011-01-18,-4.4,-22.9,-13.7,1,39,21.7,0,"January",2011,"Tuesday",29.5,30,0,0,1,0,27.9,0,0
2011-01-19,-4.8,-16,-10.4,0,52,18.4,0,"January",2011,"Wednesday",21.7,29.5,0,0,1,0,21,0,0
2011-01-20,3.2,-15.4,-6.1,0.5,54,14.1,0,"January",2011,"Thursday",18.4,21.7,0,0,1,0,20.4,0,0
2011-01-21,2.4,-8.6,-3.1,1.5,54,11.1,0,"January",2011,"Friday",14.1,18.4,0,0,1,0,13.6,0,0
2011-01-22,2.9,-9.7,-3.4,1.5,54,11.4,0,"January",2011,"Saturday",11.1,14.1,0,0,0,0,14.7,0,1
2011-01-23,6.5,-5.2,0.7,0,56,7.3,0,"January",2011,"Sunday",11.4,11.1,0,0,0,0,10.2,0,1
2011-01-24,3.3,-8,-2.4,0,33,10.4,0,"January",2011,"Monday",7.3,11.4,0,0,1,0,13,0,0
2011-01-25,5.7,-8.2,-1.3,0,33,9.3,0,"January",2011,"Tuesday",10.4,7.3,0,0,1,0,13.2,0,0
2011-01-26,6.3,-2.4,2,1,33,6,0,"January",2011,"Wednesday",9.3,10.4,0,0,1,0,7.4,0,0
2011-01-27,8.5,-2.1,3.2,0,56,4.8,0,"January",2011,"Thursday",6,9.3,0,0,1,0,7.1,0,0
2011-01-28,2.5,-12.6,-5.1,0,56,13.1,0,"January",2011,"Friday",4.8,6,0,0,1,0,17.6,0,0
2011-01-29,-12.6,-21.6,-17.1,0,56,25.1,0,"January",2011,"Saturday",13.1,4.8,0,0,0,0,26.6,0,1
2011-01-30,-19.4,-25.2,-22.3,0,56,30.3,0,"January",2011,"Sunday",25.1,13.1,0,0,0,0,30.2,0,1
2011-01-31,-20.8,-30.5,-25.7,0,56,33.7,0,"January",2011,"Monday",30.3,25.1,0,0,1,0,35.5,0,0
2011-02-01,-12,-24.5,-18.3,0,56,26.3,0,"February",2011,"Tuesday",33.7,30.3,0,0,1,0,29.5,0,0
2011-02-02,6.7,-13.6,-3.5,1,35,11.5,0,"February",2011,"Wednesday",26.3,33.7,0,0,1,0,18.6,0,0
2011-02-03,5.6,-0.8,2.4,0,33,5.6,0,"February",2011,"Thursday",11.5,26.3,0,0,1,0,5.8,0,0
2011-02-04,6.6,1.5,4.1,1.5,56,3.9,0,"February",2011,"Friday",5.6,11.5,0,0,1,0,3.5,0,0
2011-02-05,2.4,-11.2,-4.4,0.5,61,12.4,0,"February",2011,"Saturday",3.9,5.6,0,0,0,0,16.2,0,1
2011-02-06,-11,-19.8,-15.4,0,41,23.4,0,"February",2011,"Sunday",12.4,3.9,0,0,0,0,24.8,0,1
2011-02-07,-9.6,-20.9,-15.3,0,41,23.3,0,"February",2011,"Monday",23.4,12.4,0,0,1,0,25.9,0,0
2011-02-08,-10,-23.9,-17,0,41,25,0,"February",2011,"Tuesday",23.3,23.4,0,0,1,0,28.9,0,0
2011-02-09,0.3,-20,-9.9,0,39,17.9,0,"February",2011,"Wednesday",25,23.3,0,0,1,0,25,0,0
2011-02-10,3.6,-0.4,1.6,0,46,6.4,0,"February",2011,"Thursday",17.9,25,0,0,1,0,5.4,0,0
2011-02-11,6.6,-1.1,2.8,0,46,5.2,0,"February",2011,"Friday",6.4,17.9,0,0,1,0,6.1,0,0
2011-02-12,5.4,-1.2,2.1,0,46,5.9,0,"February",2011,"Saturday",5.2,6.4,0,0,0,0,6.2,0,1
2011-02-13,5.3,-1.6,1.9,1,54,6.1,0,"February",2011,"Sunday",5.9,5.2,0,0,0,0,6.6,0,1
2011-02-14,7.5,-5.5,1,0,54,7,0,"February",2011,"Monday",6.1,5.9,0,0,1,0,10.5,0,0
2011-02-15,-3,-18.5,-10.8,0,54,18.8,0,"February",2011,"Tuesday",7,6.1,0,0,1,0,23.5,0,0
2011-02-16,-18.5,-22.5,-20.5,0,54,28.5,0,"February",2011,"Wednesday",18.8,7,0,0,1,0,27.5,0,0
2011-02-17,-20.4,-24.2,-22.3,0,54,30.3,0,"February",2011,"Thursday",28.5,18.8,0,0,1,0,29.2,0,0
2011-02-18,-20.1,-25.1,-22.6,0.5,54,30.6,0,"February",2011,"Friday",30.3,28.5,0,0,1,0,30.1,0,0
2011-02-19,-18.1,-28.8,-23.5,0,32,31.5,0,"February",2011,"Saturday",30.6,30.3,0,0,0,0,33.8,0,1
2011-02-20,-11.9,-22.6,-17.3,0.5,37,25.3,0,"February",2011,"Sunday",31.5,30.6,0,0,0,0,27.6,0,1
2011-02-21,-0.4,-20.2,-10.3,0,37,18.3,0,"February",2011,"Monday",25.3,31.5,0,0,0,1,25.2,0,0
2011-02-22,-4.6,-17.7,-11.2,0,41,19.2,0,"February",2011,"Tuesday",18.3,25.3,0,0,1,0,22.7,0,0
2011-02-23,-16.8,-22.1,-19.5,0,46,27.5,0,"February",2011,"Wednesday",19.2,18.3,0,0,1,0,27.1,0,0
